,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.0,1.0,1.1736500981643383e-62
1,Sirius,8.6,2.1,1.71,8.42879930968541e-63
2,Canopus,310,15.0,71.0,3.49231332522616e-65
3,Alpha Centauri,4.4,1.1,1.2,8.965382694310919e-63
4,Arcturus,37,1.1,26.0,1.9097856626934505e-65
5,Vega,25,2.2,2.7,3.541879582937646e-63
6,Capella,43,2.6,12.0,2.119090455018944e-64
7,Rigel,860,23.0,78.9,4.336231590224229e-65
8,Procyon,11.4,1.5,1.9,4.876662457746559e-63
9,Betelgeuse,640,20.0,950.0,2.6008866441314977e-67
10,Achernar,144,6.7,9.3,9.091751251822252e-64
11,Hadar,390,10.5,8.6,1.6662149852251965e-63
12,Altair,17,1.8,1.8,6.520278323135212e-63
13,Acrux,320,18.0,8.9,2.6670498380202107e-63
14,Aldebaran,65,1.5,44.0,9.093363363876586e-66
15,Antares,600,12.0,680.0,3.045804753021639e-67
16,Spica,260,11.43,7.47,2.4040509421924e-63
17,Pollux,34,1.9,8.8,2.879565065227586e-64
18,Fomalhaut,25,1.9,1.8,6.882516007753834e-63
19,Deneb,"2,600",19.0,203.0,5.411281968774401e-66
20,Mimosa,350,16.0,8.4,2.661338091075597e-63
21,Regulus,77,3.8,3.1,4.6408640718256866e-63
22,Adhara,430,12.5,14.0,7.485013381150114e-64
23,Shaula,700,14.5,8.8,2.1975628129368417e-63
24,Castor,52,2.8,2.4,5.70524353274331e-63
25,Gacrux,88,1.5,84.0,2.495004460383373e-66
26,Bellatrix,240,8.6,5.8,3.000413449528332e-63
27,Elnath,130,5.0,4.2,3.326672613844496e-63
28,Miaplacidus,110,3.5,6.8,8.883597196313116e-64
29,Alnilam,"2,000",32.0,42.0,2.129070472860478e-64
30,Gamma Velorum,"1,100",9.0,6.0,2.934125245410846e-63
31,Alnair,101,4.0,3.4,4.0610730040288534e-63
32,Alioth,81,2.9,4.2,1.9294701160298076e-63
33,Alnitak,1050,33.0,20.0,9.682613309855792e-64
34,Dubhe,120,4.25,30.0,5.54223657466493e-65
35,Mirfak,590,8.5,68.0,2.1574450333903278e-65
36,Wezen,"1,600",17.0,200.0,4.988012917198437e-66
37,Sargas,270,5.7,26.0,9.896162070320604e-65
38,Kaus Australis,140,3.5,6.8,8.883597196313116e-64
39,Avior,630,9.0,130.0,6.250207623360381e-66
40,Alkaid,104,6.1,3.4,6.193136331144e-63
41,Menkalinan,81,2.39,2.77,3.655754323153916e-63
42,Atria,390,7.0,92.0,9.706463477257052e-66
43,Alhena,109,2.8,3.3,3.0176494718642316e-63
44,Peacock,180,5.9,4.8,3.005440789570137e-63
45,Alsephina[2],80,2.4,2.9,3.349298734357208e-63
46,Mirzam,500,13.5,10.0,1.5844276325218567e-63
47,Polaris,430,5.4,39.0,4.166805082240255e-65
48,Alphard,180,3.0,50.0,1.408380117797206e-65
49,Scheat,196,2.1,95.0,2.730930976338073e-66
50,Almaaz,653,15.0,140.0,8.982016057380139e-66
51,Rasalgethi,360,2.8,280.0,4.191607493444065e-67
52,Tau Ceti,11.9,0.783,0.893,1.1523847002914003e-62
53,Delta Pavonis,19.92,0.991,1.22,7.814345923682204e-63
54,Ran,10.48,0.82,0.74,1.757474580888892e-62
55,V382 Carinae,"8,900",20.0,485.0,9.978957153060587e-67
56,Eta Carinae,"7,500",100.0,881.0,1.512121967174772e-66
57,Delta Cephei,887,4.5,44.5,2.66704983802021e-65
58,Mu Cephei,"6,000",19.2,972.0,2.3851040962543068e-67
59,Titawin,44.25,1.27,1.48,6.80485584673443e-63
60,Rho Cassiopeiae,"8,154",22.0,800.0,4.0344222124399126e-67
61,P Cygni,"5,545",30.0,76.0,6.095828072183196e-65
62,VV Cephei,"4,900",18.2,750.0,3.7974100953939474e-67
63,61 Cygni,11.41,0.7,0.665,1.8577761743796407e-62
64,R Doradus,178,0.8,298.0,1.0572948048865711e-67
65,Polaris Australis,281,1.59,3.74,1.334112825703693e-63
66,R Coronae Borealis,"4,566",0.85,85.0,1.3807648213698097e-66
67,54 Piscium,36.1,0.76,0.94,1.0094772234097975e-62
68,Mira,300,1.2,370.0,1.0287656083252054e-67
69,RW Cephei,"14,000",13.9,1158.0,1.21656780976106e-67
70,Lacaille 8760,12.87,0.6,0.51,2.707382002685901e-62
71,V838 Monocerotis,"19,896",0.5,450.0,2.8979014769489837e-68
72,HD 140283,190,2.0,1.4,1.197602140984019e-62
73,II Pegasi,130,0.8,3.4,8.122146008057706e-64
74,VY Canis Majoris,"3,900",17.0,1420.0,9.894887754807454e-68
75,Pistol Star,"25,000",100.0,320.0,1.1461426739886114e-65
76,S Doradus,"1,69,000",24.0,380.0,1.9506649830986234e-66
77,UY Scuti,"5,100",7.0,755.0,1.4412614687338922e-67
78,Barnard's Star,5.98,0.14,0.2,4.107775343575185e-62
79,Luhman 16,6.52,0.04,0.02,1.173650098164338e-60
80,Proxima Centauri,4.25,0.12,0.15,6.259467190209804e-62
81,KIC 8462852,"1,470",1.43,1.58,6.72295962335765e-63
82,R136a1,"1,63,000",290.0,32.0,3.3238137545669736e-63
83,Melnick 42,"1,63,000",189.0,21.1,4.982364918871092e-63
84,WR 102,"18,134",19.0,0.39,1.466098084491941e-60
85,VFTS 352,"1,64,000",57.48,14.47,3.221946588370102e-63
86,YBP 1194,"2,772",1.01,0.99,1.2094547486439972e-62
87,Gliese 1214,47.5,0.16,0.21,4.258140945720956e-62
88,NML Cygni,"5,251",50.0,1900.0,1.625554152582186e-67
89,VB 10,18.72,0.075,0.1,8.802375736232536e-62
90,WOH G64,"1,63,000",20.0,1600.0,9.169141391908892e-68
91,TRAPPIST-1,39.6,0.089,0.12,7.253809634487925e-62
92,2MASS J0523-1403,40.3,0.07,0.086,1.1108099901501314e-61
93,WISE 0855−0714,7.27,0.003,0.086,4.7606142435005627e-63
94,Icarus,"14,40,00,00,000",33.0,0.2,9.682613309855791e-60
95,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,5.1957938268778645e-62
96,2MASS J00040288-6410358,192,0.018137172,0.16750369,7.586814290521605e-63
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,7.054320007577167e-62
98,2MASS J00274197+0503417,236,0.029592228,0.14797872,1.5860532751154677e-62
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,5.965167868532246e-62
100,2MASS J00332386-1521309 [de],131,0.027683052,0.14695109,1.5045512449871923e-62
101,2MASS J00345157+0523050,31,0.040092696,0.09659722,5.0428336787093935e-62
102,2MASS 0036+1821,28.6,0.040092696,0.09659722,5.0428336787093935e-62
103,2MASSW J0045214+163445,57,0.021955524,0.16647606,9.297771489326836e-63
104,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,7.533132440418632e-63
105,2MASS J00501994-3322402 [de],34,0.03818352,0.09659722,4.802698741627994e-62
106,2MASS J00584253-0651239 [de],96,0.027683052,0.14695109,1.5045512449871923e-62
107,2MASSI J0103320+193536,70,0.049638576,0.10070774,5.744235725253274e-62
108,SDSSp J010752.33+004156.1 [de],51,0.049638576,0.10070774,5.744235725253274e-62
109,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606,8.085018686371162e-63
110,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843,8.18576561109235e-63
111,SDSS J015141.69+124429.6,70,0.044865636,0.09968011,5.29950676428997e-62
112,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968011,5.29950676428997e-62
113,2MASS J02103857-3015313,101,0.01431882,0.15722739,6.798129898921081e-63
114,2MASS J02340093-6442068,155,0.01909176,0.16647606,8.085018686371162e-63
115,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583,1.4408096224883983e-62
116,2MASS J02431371−2453298,35,0.031501404,0.10173537,3.5721082559785307e-62
117,LP 771-21,53,0.074457864,0.11098404,7.094603897290695e-62
118,Teegarden's star,12.578,0.07636704,0.13050901,5.2621546383563715e-62
119,2MASS J02535980+3206373,184,0.06204822,0.1952497,1.9102368388273012e-62
120,WISE J0254+0223,24,0.06204822,0.1952497,1.9102368388273012e-62
121,DEN 0255-4700,16.2,0.07636704,0.09968011,9.020437045599948e-62
122,2MASS J03185403-3421292 [de],45,0.046774812,0.09968011,5.525017690429968e-62
123,2MASS J03205965+1854233,47,0.084003744,0.11817745,7.059404263006042e-62
124,2MASS J03231002-4631237,192,0.021955524,0.17058658,8.855084735298794e-63
125,SDSS J032553.17+042540.1,59,0.04295646,0.09762485,5.289886630598681e-62
126,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,1.1299698660627947e-62
127,2MASS J03284265+2302051 [de],98,0.051547752,0.10070774,5.965167868532246e-62
128,2MASS J03341218-4953322,27,0.069684924,0.10687352,7.160399324877084e-62
129,LP 944-20,20.9,0.069684924,0.14695109,3.787318651174656e-62
130,2MASP J0345432+254023,88,0.070639512,0.10790115,7.120888458040469e-62
131,Teide 1,380,0.05250234,0.38844414,4.08375943852421e-63
132,2MASS J03510004-0052452,48,0.097367976,0.13050901,6.709247163904374e-62
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,1.2177641781744996e-62
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,3.5265910870657863e-62
135,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167,7.1436151975464975e-62
136,2MASS J04351612-1606574,34,0.0954588,0.12948138,6.6825154448577964e-62
137,2MASS J04362788-4114465,142,0.037228932,0.20244311,1.0661374920507955e-62
138,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,5.4122622273599695e-62
139,2MASS J04433764+0002040,82,0.021000936,0.18291814,7.366543158870006e-63
140,2MASS J04455387-3048204 [de],42,0.061093632,0.102763,6.789863372963994e-62
141,2MASS J04510093-3402150 [de],69,0.000992772,7.398936,2.128382198248721e-67
142,2MASS J05002100+0330501 [de],44,0.061093632,0.102763,6.789863372963994e-62
143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,1.1698823352519484e-62
144,2MASS J05160945-0445499 [de],73,0.044865636,0.09968011,5.29950676428997e-62
145,2MASS J0523−1403,40,0.064911984,0.10379063,7.07208100556244e-62
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,6.344072666754541e-62
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,1.4941729418398209e-62
148,2MASS J06085283-2753583,102,0.036274344,0.15517213,1.7681160377603487e-62
149,2MASS J06244595-4521548 [de],39,0.053456928,0.10173537,6.061759464690843e-62
150,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063,6.968079814304168e-62
151,DENIS-P J0652197-253450 [de],51,0.0715941,0.10790115,7.217116680446421e-62
152,2MASS J07075327-4900503,60,0.068730336,0.10584589,7.2001096187995985e-62
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,2.872117862626637e-62
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,4.922766210168693e-62
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,4.442496336005895e-62
156,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659722,5.1629011472500945e-62
157,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589,7.1001080963162704e-62
158,2MASS J07522390+1612157,60,0.001918722,6.987884,4.611681658602673e-67
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,5.282968615790794e-62
160,2MASS J08251968+2115521 [de],35,0.049638576,0.10070774,5.744235725253274e-62
161,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173537,5.1957938268778645e-62
162,LHS 2021,55,0.084003744,0.11817745,7.059404263006042e-62
163,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865248,5.295371418530675e-62
164,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,6.577680142558868e-62
165,2MASSI J0847287-153237 [de],43,0.061093632,0.102763,6.789863372963994e-62
166,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,7.13516846064923e-62
167,2MASSI J0859254-194926 [de],50,0.0477294,0.10070774,5.523303581974302e-62
168,2MASSI J0937347+293142,20,0.040092696,0.09659722,5.0428336787093935e-62
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,3.7616971595368397e-62
170,2MASS J09490860-1545485 [de],59,0.046774812,0.09865248,5.64072172843485e-62
171,2MASS J10073369-4555147,46,0.042001872,0.09659722,5.282968615790794e-62
172,2MASSI J1010148-040649 [de],55,0.048683988,0.10070774,5.63376965361379e-62
173,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583,1.4408096224883983e-62
174,2MASSW J1036530-344138 [de],53,0.046774812,0.09968011,5.525017690429968e-62
175,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722,5.0428336787093935e-62
176,DEN 1048-3956,13.15,0.073503276,0.10995641,7.13516846064923e-62
177,Luhman 16B,6.516,0.041047284,0.10481826,4.3847937848040985e-62
178,Luhman 16A,6.516,0.03818352,0.10379063,4.160047650330847e-62
179,DENIS-P J1058.7−1548,49,0.061093632,0.102763,6.789863372963994e-62
180,TWA 28,180,0.034365168,0.24560357,6.686329278710538e-63
181,Cha 110913-773444,163,0.007636704,0.1849734,2.619546054384257e-63
182,SDSS J111010.01+011613.1,63,0.008591292,0.12742612,6.209836998068818e-63
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,3.7988534089459187e-62
184,TWA 26,137,0.02863764,0.2260786,6.575926562142297e-63
185,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445,1.7446176722199152e-62
186,2MASSW J1155395-372735 [de],31,0.061093632,0.102763,6.789863372963994e-62
187,2MASS J12074836-3900043,217,0.016227996,0.17572473,6.167906222234399e-63
188,2MASSI J1217110-031113 [de],36,0.040092696,0.09659722,5.0428336787093935e-62
189,2M 1237+6526,45.6,0.039138108,0.09659722,4.922766210168693e-62
190,TWA 29,262,0.001909176,2.569075,3.394931686481996e-66
191,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070774,5.191905367055845e-62
192,Kelu-1A,61,0.060139044,0.10070774,6.959362513287622e-62
193,Kelu-1B,61,0.055366104,0.10070774,6.407032155090191e-62
194,2MASS J13204427+0409045,101,0.063957396,0.10379063,6.968079814304168e-62
195,SDSSp J132629.82-003831.5 [de],65,0.048683988,0.09968011,5.750528616569967e-62
196,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659722,5.282968615790794e-62
197,2MASS J13595510-4034582,51,0.060139044,0.102763,6.683771757761431e-62
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,3.6837366389778613e-62
199,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173537,6.386496578870708e-62
200,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716,1.2786523870832245e-62
201,LHS 2924,38.5,0.072548688,0.10892878,7.176008148268728e-62
202,2MASS J14392837+1929150,47,0.068730336,0.10584589,7.2001096187995985e-62
203,LSPM J1440+1339,72,0.087822096,0.12228797,6.89247129343672e-62
204,2MASS J14482563+1031590 [de],47,0.056320692,0.10173537,6.386496578870708e-62
205,CFBDSIR 1458+10A,104,0.010595927,0.1541445,5.23385311544965e-63
206,CFBDSIR 1458+10B,104,0.008591292,0.1335919,5.649849330313973e-63
207,TVLM 513-46546,35.1,0.0715941,0.10790115,7.217116680446421e-62
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,5.282968615790794e-62
209,CFBDS J150411+102717,71,0.042001872,0.09659722,5.282968615790794e-62
210,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826,7.036064445383319e-62
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,6.494742283597329e-62
212,TVLM 868-110639,53,0.075412452,0.11098404,7.185560357512372e-62
213,2MASSW J1515008+484742 [de],34,0.054411516,0.10173537,6.170005169417463e-62
214,2MASSI J1526140+204341 [de],67,0.051547752,0.10070774,5.965167868532246e-62
215,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763,6.683771757761431e-62
216,2MASS J15462718-3325111 [de],37,0.042001872,0.09659722,5.282968615790794e-62
217,2MASSW J1552591+294849 [de],68,0.02863764,0.14695109,1.5564323224005437e-62
218,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589,7.1001080963162704e-62
219,2MASS J16150413+1340079 [de],48,0.040092696,0.09659722,5.0428336787093935e-62
220,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659722,5.1629011472500945e-62
221,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589,7.1001080963162704e-62
222,2MASSW J1632291+190441 [de],50,0.046774812,0.09968011,5.525017690429968e-62
223,WISEPA J164715.59+563208.2,28,0.039138108,0.09659722,4.922766210168693e-62
224,LSPM J1658+7027 [de],60,0.069684924,0.10687352,7.160399324877084e-62
225,2MASSI J1726000+153819,114,0.022910112,0.1438682,1.299081002480356e-62
226,SDSSp J175032.96+175903.9,90,0.044865636,0.09968011,5.29950676428997e-62
227,2MASS J18283572-4849046,39,0.04295646,0.09762485,5.289886630598681e-62
228,LSR J1835+3259,18.5,0.073503276,0.10995641,7.13516846064923e-62
229,2MASSW J1841086+311727,138,0.063957396,0.10379063,6.968079814304168e-62
230,2MASS J18432213+4040209,46,0.091640448,0.12537086,6.842780878423806e-62
231,2MASS J20004841-7523070,105,0.0238647,0.19319444,7.50421678379374e-63
232,SDSS J204749.61-071818.3,65,0.043911048,0.09865248,5.295371418530675e-62
233,2MASSI J2057540-025230,47,0.06682116,0.10481826,7.138036393867136e-62
234,2MASSI J2104149-103736,62,0.065866572,0.10481826,7.036064445383319e-62
235,PSO J318.5−22,80,0.006204822,0.15722739,2.9458562895324683e-63
236,HB 2124-4228,113,0.089731272,0.12434323,6.811428064367779e-62
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,5.295371418530675e-62
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,5.953513759964219e-62
239,2MASSW J2206450-421721,93,0.021000936,0.13667479,1.3194728557048865e-62
240,2MASSW J2208136+292121,154,0.025773876,0.14489583,1.4408096224883983e-62
241,2MASSW J2224438-015852,38,0.058229868,0.10173537,6.602987988323951e-62
242,2MASS J22282889-4310262,35,0.040092696,0.09659722,5.0428336787093935e-62
243,2MASS J22373255+3922398,64,0.069684924,0.10687352,7.160399324877084e-62
244,2MASSW J2244316+204343,56,0.011455056,0.13256427,7.650377876514325e-63
245,2MASS J23224684-3133231,56,0.022910112,0.14284057,1.3178400522030422e-62
246,2MASS J23225299-6151275,148,0.016227996,0.16339317,7.134043188337331e-63
247,2MASS J23515044-2537367,67,0.084003744,0.11920508,6.9382150251378495e-62
248,2MASSI J2356547-155310,74,0.07636704,0.11201167,7.1436151975464975e-62
249,WISE 0410+1502,20,0.005727528,0.12023271,4.650081753344835e-63
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,9.021395850558025e-64
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,7.34706476472039e-64
252,WISE 1405+5534,25.3,0.02863764,0.08837618,2.4471070969610065e-10
